item_code,item_name_original,item_name_en
1691,OREO BISKUT SANDWICH COKLAT JENAMA KRAFT (PELBAGAI PERISA),OREO Biscuits SANDWICH Chocolate Brand KRAFT (Assorted Flavours)
1692,CREAM O BISKUT SANDWICH JENAMA JACK N JILL (PELBAGAI PERISA),CREAM O Biscuits SANDWICH Brand JACK N JILL (Assorted Flavours)
1693,CHIPSMORE ORIGINAL,CHIPSMORE ORIGINAL
1695,ENO SACHET GINGER,ENO SACHET GINGER
1696,CHIPSMORE MINI HAZELNUTS,CHIPSMORE MINI HAZELNUTS
1697,TIGER BISKUAT SUSU,TIGER Biscuits Milk
1699,CADBURY DAIRY MILK HAZELNUT,CADBURY DAIRY MILK HAZELNUT
1700,KINDER JOY FOR BOYS/FOR GIRLS,KINDER JOY FOR BOYS/FOR GIRLS
1701,TOBLERONE (MILK CHOCOLATE),TOBLERONE (MILK CHOCOLATE)
1704,NIPS CHOCOLATE COATED ROASTED PEANUT,NIPS CHOCOLATE COATED ROASTED PEANUT
171,KORDIAL SUNQUICK (OREN),Cordial SUNQUICK (OREN)
1710,MAGGI HOT CUP (CURRY),MAGGI HOT CUP (CURRY)
1712,YAKULT (ACE/ACE LIGHT),YAKULT (ACE/ACE LIGHT)
1718,LIVITA WITH HONEY (TIN),LIVITA WITH HONEY (Tin)
1719,SEVEN UP LEMON & LIME,SEVEN UP LEMON & LIME
1725,THREE LEGS COOLING WATER,THREE LEGS COOLING WATER
1727,COOL RHINO COOLING WATER,COOL RHINO COOLING WATER
1728,NASI GORENG BIASA,Plain Fried Rice
1729,NASI GORENG SEAFOOD,Seafood Fried Rice
1730,MI GORENG BIASA,Noodles Fried Regular
1731,MI GORENG MAMAK,Noodles Fried MAMAK
1732,MI HAILAM,Noodles HAILAM
1733,MI SUP (AYAM/DAGING),Noodles Soup (Chicken/Meat)
1734,MI TOM YAM,Noodles TOM YAM
1735,MI BANDUNG,Noodles BANDUNG
1736,MI LADNA,Noodles LADNA
1737,MI KUNGFU,Noodles KUNGFU
1738,BIHUN SUP (AYAM/DAGING),Rice Vermicelli Soup (Chicken/Meat)
1739,KUETIAU GORENG BIASA,Flat Rice Noodles Fried Regular
1740,KUETIAU HAILAM,Flat Rice Noodles HAILAM
1741,KUETIAU SUP (AYAM/DAGING),Flat Rice Noodles Soup (Chicken/Meat)
1742,KUETIAU TOM YAM,Flat Rice Noodles TOM YAM
1743,KUETIAU BANDUNG,Flat Rice Noodles BANDUNG
1744,KUETIAU LADNA,Flat Rice Noodles LADNA
1745,KUETIAU KUNGFU,Flat Rice Noodles KUNGFU
1746,CHAR KUETIAU,CHAR Flat Rice Noodles
1747,MI HOKKIEN,Noodles HOKKIEN
1748,KON LOH MI (KICAP),KON LOH Noodles (Soy Sauce)
1749,WAN TAN MI,WAN TAN Noodles
1750,MI UDANG,Noodles Prawns
1751,MI KARI,Noodles Curry
1752,DAGING KAMBING MASAK KARI,Goat Meat Curry
1753,PAK CHOY SOS TIRAM,PAK CHOY Oyster Sauce
1754,SAYUR TAUGEH,Vegetables Bean Sprouts
1755,BABI (PORK) GORENG,Fried Pork (PORK)
1756,BABI (PORK) MASAM MANIS,Pork (PORK) Sweet and Sour
1757,IKAN SIAKAP GORENG (SAIZ SEDERHANA),Sea Bass Fried (Size Medium)
1758,IKAN SIAKAP MASAM MANIS (SAIZ SEDERHANA),Sea Bass Sweet and Sour (Size Medium)
1759,IKAN SIAKAP TIGA RASA (SAIZ SEDERHANA),Sea Bass Three Flavours (Size Medium)
1760,IKAN SIAKAP KUKUS/STIM (SAIZ SEDERHANA),Sea Bass Steamed/Steamed (Size Medium)
1761,IKAN KERAPU GORENG (SAIZ SEDERHANA),Grouper Fried (Size Medium)
1762,IKAN KERAPU MASAM MANIS (SAIZ SEDERHANA),Grouper Sweet and Sour (Size Medium)
1763,IKAN KERAPU TIGA RASA (SAIZ SEDERHANA),Grouper Three Flavours (Size Medium)
1764,IKAN KERAPU KUKUS/STIM (SAIZ SEDERHANA),Grouper Steamed/Steamed (Size Medium)
1765,IKAN BAWAL HITAM GORENG (SAIZ SEDERHANA),Black Pomfret Fried (Size Medium)
1766,IKAN BAWAL HITAM MASAM MANIS (SAIZ SEDERHANA),Black Pomfret Sweet and Sour (Size Medium)
1767,IKAN BAWAL HITAM TIGA RASA (SAIZ SEDERHANA),Black Pomfret Three Flavours (Size Medium)
1768,IKAN BAWAL HITAM KUKUS/STIM (SAIZ SEDERHANA),Black Pomfret Steamed/Steamed (Size Medium)
1769,IKAN BAWAL PUTIH GORENG (SAIZ SEDERHANA),White Pomfret Fried (Size Medium)
1770,IKAN BAWAL PUTIH MASAM MANIS (SAIZ SEDERHANA),White Pomfret Sweet and Sour (Size Medium)
1771,IKAN BAWAL PUTIH KUKUS/STIM (SAIZ SEDERHANA),White Pomfret Steamed/Steamed (Size Medium)
1772,IKAN KEMBUNG GORENG (SAIZ SEDERHANA),Indian Mackerel Fried (Size Medium)
1773,IKAN KEMBUNG MASAK KICAP (SAIZ SEDERHANA),Indian Mackerel in Soy Sauce (Size Medium)
1774,IKAN KEMBUNG TIGA RASA (SAIZ SEDERHANA),Indian Mackerel Three Flavours (Size Medium)
1775,IKAN TENGGIRI GORENG,Spanish Mackerel Fried
1776,IKAN TENGGIRI MASAK KARI,Spanish Mackerel Curry
1777,IKAN TILAPIA GORENG BIASA (SAIZ SEDERHANA),Tilapia Fried Regular (Size Medium)
1778,IKAN TILAPIA MASAM MANIS (SAIZ SEDERHANA),Tilapia Sweet and Sour (Size Medium)
1779,IKAN TILAPIA KUKUS/STIM (SAIZ SEDERHANA),Tilapia Steamed/Steamed (Size Medium)
1780,SUP PERUT,Tripe Soup
1782,ROTI NAAN,Naan Bread
1783,ROTI CANAI BIASA,Plain Roti Canai
1784,KUIH KARIPAP (KENTANG),Kuih KARIPAP (KENTANG)
1785,VADAI MASALA,VADAI MASALA
1786,VADAI ULUNDHU,VADAI ULUNDHU
1787,ROJAK BIASA,ROJAK Regular
1788,ROJAK MI,ROJAK Noodles
1789,TEH TARIK PANAS,Hot Teh Tarik
1790,"KOPI ""O"" AIS","Coffee ""O"" Iced"
1791,KOPI AIS,Iced Coffee
1792,TEH AIS,Iced Tea
1793,NESCAFE AIS,Iced Nescafe
1794,LIMAU AIS,Iced Lime Drink
1795,JUS OREN,Orange Juice
1796,CARROT SUSU,CARROT Milk
18,PISANG BERANGAN,Berangan Bananas
180,TEH BOH (UNCANG),Boh Tea (Tea Bags)
1804,KEPAK AYAM (CHICKEN WING) (1KG),KEPAK Chicken (CHICKEN WING) (1KG)
1808,MENTOS (PELBAGAI PERISA),MENTOS (Assorted Flavours)
1814,LIMAU PANAS,Hot Lime Drink
1818,KACANG BOTOL,Winged Beans
1819,LENGKUAS,Galangal
1820,TELUR MASIN,Salted Eggs
1821,TELUR MASIN,Salted Eggs
1822,BERAS SUPER SPECIAL TEMPATAN SABAH RICE VAGAS TOKOU,Super Rice SPECIAL Local SABAH RICE VAGAS TOKOU
1823,BERAS TQR SABAH CAP TKC 5%,Rice TQR SABAH Brand TKC 5%
1824,BERAS SUPER HUMA CAP KELISA EMAS (SABAH),Super Rice HUMA Brand KELISA EMAS (SABAH)
1825,BERAS SUPER CAP ANGGUR SAZARICE 5% (IMPORT THAILAND),Super Rice Brand ANGGUR SAZARICE 5% (Imported THAILAND)
1826,BERAS SUPER CAP RODA SAZARICE 5% (IMPORT THAILAND),Super Rice Brand RODA SAZARICE 5% (Imported THAILAND)
1827,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP MUHIBAH)","Wheat Flour NGP (Packaged, Brand MUHIBAH)"
1828,KICAP SOYA PEKAT MANIS CAP AYAM,Ayam Brand Thick Sweet Soy Sauce
1829,BUTTERLITE (LEPA SUSU ISTIMEWA),BUTTERLITE (LEPA Milk ISTIMEWA)
1832,BERAS CAP GOLDEN SARAWAK (SST5%),Rice Brand GOLDEN SARAWAK (SST5%)
1833,BERAS PREMIUM CAP UNCLE TAN,Rice PREMIUM Brand UNCLE TAN
1837,KICAP TONG NAM (DARK SOY SAUCE),Soy Sauce TONG NAM (DARK SOY SAUCE)
1838,SERBUK KARI IKAN ALAGAPPAS,Curry Powder Fish ALAGAPPAS
1839,SERBUK KARI DAGING ALAGAPPAS,Curry Powder Meat ALAGAPPAS
1849,TEPUNG NAIK SENDIRI CAP 'BLUE KEY',TEPUNG NAIK SENDIRI Brand 'BLUE KEY'
1851,TENOM COFFEE WANG EMAS (SERBUK),TENOM COFFEE WANG EMAS (Powder)
1852,DESA FRESH MILK (KOTAK),DESA FRESH MILK (Box)
1854,KORDIAL F&N SUN VALLEY (GRENADINE),Cordial F&N SUN VALLEY (GRENADINE)
1856,SERBUK KOPIMAS COFFEE (BOLD TRADITIONS),Powder KOPIMAS COFFEE (BOLD TRADITIONS)
1857,NASI KERABU (BIASA),Nasi Kerabu (Regular)
1858,NASI DAGANG (BIASA),Nasi Dagang (Regular)
1859,"TEH ""O"" AIS","Tea ""O"" Iced"
1860,"TEH ""O"" LIMAU AIS",Iced 'O' Tea with Lime
1861,TEH HALIA AIS,Tea Ginger Iced
1862,"NESCAFE ""O"" AIS","NESCAFE ""O"" Iced"
1863,NESLO AIS,NESLO Iced
1864,HORLICKS AIS,HORLICKS Iced
1865,MILO AIS,MILO Iced
1866,"MILO ""O"" AIS","MILO ""O"" Iced"
1867,SIRAP AIS,Iced Syrup Drink
1868,SIRAP LIMAU AIS,Iced Lime Syrup Drink
1869,SIRAP BANDUNG AIS,Iced Bandung Syrup Drink
1870,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP  FAIZA)","Wheat Flour NGP (Packaged, Brand FAIZA)"
1871,KRIMER SEJAT CAIR SAJI,Evaporated Creamer CAIR SAJI
1872,MAYONIS SEBENAR LADY'S CHOICE,MAYONIS SEBENAR LADY'S CHOICE
1873,KRIMER MANIS CAP TEAPOT,Sweetened Creamer Brand TEAPOT
1874,DUTCH LADY 123 (BIASA),DUTCH LADY 123 (Regular)
1876,PELEMBUT PAKAIAN - DOWNY (PREMIUM PARFUM PASSION),Fabric Softener - DOWNY (PREMIUM PARFUM PASSION)
1877,NESCAFE BLEND & BREW 3 IN 1 (PAKET ) - ORIGINAL,NESCAFE BLEND & BREW 3 IN 1 (Packet ) - ORIGINAL
1879,SEVEN UP LEMON & LIME (TIN),SEVEN UP LEMON & LIME (Tin)
1880,YOGURT LACTEL (FAT FREE) (STRAWBERRY),YOGURT LACTEL (FAT FREE) (STRAWBERRY)
1881,SERBUK CABAI ALAGAPPAS,Chili Powder ALAGAPPAS
1882,TUNA CAP AYAM (TUNA MAYONNAISE),Ayam Brand Tuna (Tuna Mayonnaise)
1884,SABUN SERBUK FAB (PERFECT),Laundry Detergent FAB (PERFECT)
1886,PEMBARIS PLASTIK FABER CASTELL - 15CM,Ruler PLASTIK FABER CASTELL - 15CM
1887,DETTOL SHOWER FOAM ORIGINAL,DETTOL SHOWER FOAM ORIGINAL
1889,AMBI PUR GEL FRESH AIR FRESHENER (PELBAGAI JENIS),AMBI PUR GEL FRESH Water FRESHENER (Assorted Types)
1890,BYE BYE FEVER SUPER COOL (DEWASA),BYE BYE FEVER SUPER COOL (DEWASA)
1891,SUPER RING SNACKS CHEESE,SUPER RING SNACKS CHEESE
1893,MUNCHY'S MUZIC WAFER VANILLA CUBE,MUNCHY'S MUZIC WAFER VANILLA CUBE
1894,CALPIS (PELBAGAI PERISA),CALPIS (Assorted Flavours)
1896,COCA COLA LIGHT,COCA COLA LIGHT
1899,CILI KERING KERINTING (BERTANGKAI/TIDAK BERTANGKAI),Dried Curly Chili (With Stem/Without Stem)
19,PISANG EMAS,Emas Bananas
190,SARDIN CAP AYAM (SOS TOMATO),Ayam Brand Sardines (Tomato Sauce)
1900,CILI KERING LEPER (BERTANGKAI/TIDAK BERTANGKAI),Dried Flat Chili (With Stem/Without Stem)
1902,BERAS SUPER WR (5%),Super Rice WR (5%)
1904,DUMEX DUGRO 3 (1-3 TAHUN) PERISA ASLI (850G),DUMEX DUGRO 3 (1-3 TAHUN) Flavour Original (850G)
1905,MAGGI 2 MINUTE NOODLE CURRY FLAVOUR (5X79G),MAGGI 2 MINUTE NOODLE CURRY FLAVOUR (5X79G)
1907,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA - KOTAK) (1KG),Mutton Imported Bone-in (LAMB) (AUSTRALIA - Box) (1KG)
1908,DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (NEW ZEALAND - KOTAK),Mutton Imported Bone-in (LAMB) (NEW ZEALAND - Box)
1909,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (LAMB) (TIDAK TERMASUK PAHA - AUSTRALIA),Mutton Imported Boneless (LAMB) (Excluding Leg - AUSTRALIA)
191,SARDIN CAP AYAM (SOS TOMATO),Ayam Brand Sardines (Tomato Sauce)
1910,DAGING KAMBING BEBIRI IMPORT TANPA TULANG (LAMB) (TIDAK TERMASUK PAHA - NEW ZEALAND),Mutton Imported Boneless (LAMB) (Excluding Leg - NEW ZEALAND)
1911,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA),Leg Meat Goat Mutton Imported Bone-in (LAMB) (AUSTRALIA)
1912,DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (LAMB) (NEW ZEALAND),Leg Meat Goat Mutton Imported Bone-in (LAMB) (NEW ZEALAND)
1913,DAGING LEMBU IMPORT (BLOCK),Beef Imported (BLOCK)
1914,DAGING KERBAU IMPORT (INDIA) (BLOCK),Buffalo Meat Imported (INDIA) (BLOCK)
1915,IKAN JENAHAK (KEPINGAN),Red Snapper (Slices)
1916,IKAN DEMUDUK/CUPAK/CERMIN (b	$ 3 EKOR SEKILOGRAM),Demuduk/Cupak/Cermin Fish (≤ 3 fish per kilogram)
1917,IKAN PARANG (KEPINGAN),Wolf Herring (Slices)
1918,IKAN TERUBOK (b	$ 4 EKOR SEKILOGRAM),Terubok Fish (≤ 4 fish per kilogram)
1919,UDANG PUTIH BESAR (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),White Prawns Large (between 20 to 30 fish per kilogram)
192,SARDIN CAP KING CUP (SOS TOMATO),King Cup Sardines (Tomato Sauce)
1920,KERANG (SAIZ SEDERHANA),Clams (Size Medium)
1921,IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Tilapia Red (between 2 to 5 fish per kilogram)
1922,SADERI,SADERI
1923,TERUNG BULAT,Round Eggplant
1924,SERBUK KUNYIT ALAGAPPAS,Turmeric Powder ALAGAPPAS
1925,CILI API/PADI MERAH,Bird's Eye Chili Red
1926,CILI AKAR HIJAU,Chili AKAR Green
1927,CILI AKAR MERAH,Chili AKAR Red
1928,LIMAU KASTURI,Calamansi
1929,SANTAN KELAPA SEGAR (PEKAT),Fresh Coconut Milk (Concentrated)
193,SARDIN CAP KING CUP (SOS TOMATO),King Cup Sardines (Tomato Sauce)
1930,TELUR AYAM KAMPUNG,Free-Range Chicken Eggs
1931,BAWANG BESAR IMPORT (PAKISTAN),Onions Imported (PAKISTAN)
1933,BAWANG KECIL MERAH IMPORT (HOLLAND),Shallots Imported (HOLLAND)
1934,MINYAK MASAK SEBATIAN CAP ADELA GOLD,Blended Cooking Oil Brand ADELA GOLD
1935,MINYAK MASAK SEBATIAN CAP ADELA GOLD,Blended Cooking Oil Brand ADELA GOLD
1936,MINYAK MASAK SEBATIAN CAP ADELA GOLD,Blended Cooking Oil Brand ADELA GOLD
1937,MINYAK MASAK TULEN CAP SAJI,Pure Cooking Oil Brand SAJI
1938,MINYAK MASAK TULEN CAP SAJI,Pure Cooking Oil Brand SAJI
1939,MINYAK MASAK TULEN CAP SAJI,Pure Cooking Oil Brand SAJI
1940,MINYAK MASAK TULEN CAP ALIF,Pure Cooking Oil Brand ALIF
1941,MINYAK MASAK TULEN CAP ALIF,Pure Cooking Oil Brand ALIF
1942,MINYAK MASAK TULEN CAP ALIF,Pure Cooking Oil Brand ALIF
1943,KACANG MERAH (IMPORT),Red Beans (Imported)
1944,KACANG SOYA (IMPORT),Soybeans (Imported)
1945,TAUHU (JENIS KERAS),Firm Tofu
1946,TEMPE (BUNGKUSAN PLASTIK),TEMPE (BUNGKUSAN PLASTIK)
1947,SERBUK PENAIK ROYAL (TIN),Baking Powder ROYAL (Tin)
1948,RAGI BULAT/RAGI TAPAI,RAGI BULAT/RAGI TAPAI
1949,ROTI WHOLEMEAL (PELBAGAI JENAMA),Bread WHOLEMEAL (Various Brands)
195,MACKAREL CAP AYAM (SOS TOMATO),Ayam Brand Mackerel (Tomato Sauce)
1950,BUNGA RAYA YIS SEGERA,BUNGA RAYA Instant Yeast
1951,BERAS SUPER CAP 3A BOY (IMPORT),Super Rice Brand 3A BOY (Imported)
1952,KRIMER SEJAT CAP F&N,Evaporated Creamer Brand F&N
1953,KRIMER MANIS PEKAT CAP SAJI,Sweetened Creamer Concentrated Brand SAJI
1954,SUSU TEPUNG SEGERA EVERYDAY,Milk Powder Instant EVERYDAY
1955,YOGURT MARIGOLD (LOW FAT) (STRAWBERRY),YOGURT MARIGOLD (LOW FAT) (STRAWBERRY)
1956,NAN PRO LANGKAH 1 RUMUSAN BAYI (KOTAK),NAN PRO Stage 1 Infant Formula (Box)
1957,NAN PRO LANGKAH 2 RUMUSAN SUSULAN (KOTAK),NAN PRO Stage 2 Follow-Up Formula (Box)
1958,NANKID OPTIPRO LANGKAH 3 RUMUSAN UNTUK KANAK-KANAK,NANKID OPTIPRO Stage 3 Children's Formula
1959,SUSU SEGAR FARM FRESH,Fresh Milk FARM FRESH
1960,SUSU SEGAR KURMA FARM FRESH,Fresh Milk Korma FARM FRESH
1961,ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - TIN,ANMUM ESSENTIAL Stage 4 Flavour Original (without GULA TAMBAHAN) - Tin
1962,NESTUM (ORIGINAL),NESTUM (ORIGINAL)
1963,REFILL ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - KOTAK,REFILL ANMUM ESSENTIAL Stage 4 Flavour Original (without GULA TAMBAHAN) - Box
1964,QUAKER OATS INSTANT OATMEALS,QUAKER OATS INSTANT OATMEALS
1965,PEDIASURE (VANILA),PEDIASURE (VANILA)
1966,MILNA BISKUT RUSK (ASLI),MILNA Biscuits RUSK (Original)
1967,PETPET GOLD+,PETPET GOLD+
1968,DRYPERS WEE WEE DRY (M74),DRYPERS WEE WEE DRY (M74)
1969,HUGGIES DRY DIAPERS (M72),HUGGIES DRY DIAPERS (M72)
197,MACKAREL CAP KING CUP (SOS TOMATO),King Cup Mackerel (Tomato Sauce)
1970,DIAPEX EASY,DIAPEX EASY
1971,FITTI,FITTI
1972,MAMYPOKO EXTRA DRY,MAMYPOKO EXTRA DRY
1973,PETPET DAY NIGHT PANTS,PETPET DAY NIGHT PANTS
1974,DRYPERS DRYPANTZ,DRYPERS DRYPANTZ
1975,HUGGIES DRY PANTS,HUGGIES DRY PANTS
1976,MAGGI MI SEGERA PERISA KARI,MAGGI Noodles Instant Flavour Curry
1977,CINTAN MI SEGERA PERISA AYAM,CINTAN Noodles Instant Flavour Chicken
1978,MI SEDAP MI GORENG PERISA ASLI,Noodles SEDAP Noodles Fried Flavour Original
1979,SABUN MANDIAN LIFEBUOY (COOL FRESH),Body Wash LIFEBUOY (COOL FRESH)
1980,SABUN MANDIAN DETTOL ANTIBACTERIAL (FRESH),Body Wash DETTOL ANTIBACTERIAL (FRESH)
1981,SABUN MANDIAN LUX (MAGICAL SPELL),Body Wash LUX (MAGICAL SPELL)
1982,SYAMPU REJOICE (RICH SOFT SMOOTH),Shampoo REJOICE (RICH SOFT SMOOTH)
1983,SYAMPU PANTENE PRO-V (HAIR FALL CONTROL),Shampoo PANTENE PRO-V (HAIR FALL CONTROL)
1984,SYAMPU HEAD & SHOULDERS (SMOOTH & SILKY),Shampoo HEAD & SHOULDERS (SMOOTH & SILKY)
1985,TUALA WANITA KOTEX SOFT & SMOOTH (MAXI - NON WING),Sanitary Pads KOTEX SOFT & SMOOTH (MAXI - NON WING)
1986,TUALA WANITA LIBRESSE (MAXI - NON WING),Sanitary Pads LIBRESSE (MAXI - NON WING)
1987,DEODORAN NIVEA MAN (BLACK & WHITE INVISIBLE - ORIGINAL),Deodorant NIVEA MAN (BLACK & WHITE INVISIBLE - ORIGINAL)
1988,DEODORAN NIVEA (EXTRA BRIGHTENING),Deodorant NIVEA (EXTRA BRIGHTENING)
1989,DEODORAN REXONA MEN (SPORT DEFENSE),Deodorant REXONA MEN (SPORT DEFENSE)
199,TUNA CAP TC BOY (SANDWICH DELITE),TC Boy Tuna (Sandwich Delite)
1990,DEODORAN REXONA (POWDER DRY BRIGHTENING),Deodorant REXONA (POWDER DRY BRIGHTENING)
1991,SABUN SERBUK BREEZE (POWER CLEAN),Laundry Detergent BREEZE (POWER CLEAN)
1992,SABUN SERBUK ATTACK (AROMA FRESH + COLOUR),Laundry Detergent ATTACK (AROMA FRESH + COLOUR)
1993,SABUN SERBUK TOP (SUPER COLOUR),Laundry Detergent TOP (SUPER COLOUR)
1994,DYNAMO POWER GEL (PERFECT CLEAN),DYNAMO POWER GEL (PERFECT CLEAN)
1995,DAIA EXCELLENT WASHING POWER (EUA DE PARFUM),DAIA EXCELLENT WASHING POWER (EUA DE PARFUM)
1996,PELEMBUT PAKAIAN - SOFTLAN (FLORAL FANTASY),Fabric Softener - SOFTLAN (FLORAL FANTASY)
1998,PENCUCI PELBAGAI GUNA DETTOL (LAVENDER),Dettol Multi-Purpose Cleaner (Lavender)
1999,PENCUCI PELBAGAI GUNA MR MUSCLE (LAVENDER),Mr Muscle Multi-Purpose Cleaner (Lavender)
2,AYAM BERSIH - SUPER,Cleaned Chicken - Super
20,TEMBIKAI MERAH BERBIJI,Red Watermelon With Seeds
2000,PENCUCI PELBAGAI GUNA AJAX FABULOSO (LAVENDER),Ajax Fabuloso Multi-Purpose Cleaner (Lavender)
2001,DUMEX DUPRO 2 (RUMUSAN SUSULAN),DUMEX DUPRO 2 (Follow-Up Formula)
2002,PELUNTUR CLOROX (ORIGINAL),Bleach CLOROX (ORIGINAL)
2003,BIHUN KERING IMPORT (PELBAGAI JENAMA),Rice Vermicelli Dried Imported (Various Brands)
2004,BERAS SUPER SPECIAL CAP FAMILI 5%,Super Rice SPECIAL Brand FAMILI 5%
2008,SUSU TEPUNG PENUH KRIM SEGERA NESPRAY,Milk Powder Full Cream Instant NESPRAY
2009,DUTCH LADY 123 (BIASA),DUTCH LADY 123 (Regular)
201,JEM STRAWBERI LADY'S CHOICE,JEM STRAWBERI LADY'S CHOICE
2010,DUTCH LADY 456 (BIASA),DUTCH LADY 456 (Regular)
2011,KIUB SUP TOM YAM (MAGGI),Tom Yam Soup Cube (Maggi)
2012,KICAP TAMIN (DARK SOY SAUCE),Soy Sauce TAMIN (DARK SOY SAUCE)
2013,KRAFT DAIRYLEA SINGLES CHEESE 12 SLICES,KRAFT DAIRYLEA SINGLES CHEESE 12 SLICES
2014,ENFAGROW A+ MIND PRO LANGKAH 3 VANILA (KOTAK),ENFAGROW A+ MIND PRO Stage 3 VANILA (Box)
2015,PETPET PANTS GOLD+,PETPET PANTS GOLD+
2016,SABUN SERBUK FAB (PERFECT),Laundry Detergent FAB (PERFECT)
2017,DYNAMO POWER GEL (PERFECT CLEAN),DYNAMO POWER GEL (PERFECT CLEAN)
2018,SABUN PENCUCI SUNLIGHT (LEMON),Soap Cleaner SUNLIGHT (LEMON)
2019,NESCAFE 3 IN 1 ORIGINAL (AROMATIC & BALANCED),NESCAFE 3 IN 1 ORIGINAL (AROMATIC & BALANCED)
202,SERI KAYA YEO'S,SERI KAYA YEO'S
2020,YOGURT LACTEL (FAT FREE) (STRAWBERRY),YOGURT LACTEL (FAT FREE) (STRAWBERRY)
203,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR,MAINLAND CHESDALE CHEDDAR CHEESE SPREAD 12 CHEDDAR
204,KRAFT HI - CALCIUM SINGLES PROCESSED CHEESE 12 SLICES,KRAFT HI - CALCIUM SINGLES PROCESSED CHEESE 12 SLICES
205,MARJERIN DAISY,Margarine DAISY
206,MARJERIN PLANTA,Margarine PLANTA
21,TEMBIKAI MERAH TANPA BIJI,Red Watermelon without Seeds
212,KICAP TAMIN (DARK SOY SAUCE),Soy Sauce TAMIN (DARK SOY SAUCE)
214,KICAP LEMAK MANIS CAP KIPAS UDANG,Sweet Thick Soy Sauce Brand KIPAS Prawns
215,KICAP LEMAK MANIS CAP JALEN,Sweet Thick Soy Sauce Brand JALEN
217,SOS TOMATO MAGGI,Maggi Tomato Sauce
218,SOS CILI LIFE,Life Chili Sauce
22,DRAGON FRUIT MERAH,Red Dragon Fruit
221,DRINHO SOYA (KOTAK),Drinho Soya Drink (Box)
224,SUSU SEGAR DUTCH LADY,Fresh Milk DUTCH LADY
225,SUSU MARIGOLD HL,Milk MARIGOLD HL
226,YEO'S LAICI (KOTAK),YEO'S LAICI (Box)
228,COCA COLA (BOTOL),COCA COLA (Bottle)
229,F&N OREN (TIN),F&N OREN (Tin)
230,F&N OREN (BOTOL),F&N OREN (Bottle)
232,MIRINDA OREN (BOTOL),MIRINDA OREN (Bottle)
235,JUS OREN PEEL FRESH (MARIGOLD),Juice OREN PEEL FRESH (MARIGOLD)
236,JUS OREN SUNKIST,Sunkist Orange Juice
239,RED BULL (BOTOL),RED BULL (Bottle)
24,TEMBIKAI SUSU,Milk Watermelon
240,LIVITA WITH HONEY (BOTOL),LIVITA WITH HONEY (Bottle)
246,MINYAK JAGUNG CAP MAZOLA,Mazola Corn Oil
25,NENAS BIASA (JOSAPINE/MORRIS/SARAWAK),Regular Pineapple (JOSAPINE/MORRIS/SARAWAK)
254,MINYAK MASAK SEBATIAN CAP HELANG,Blended Cooking Oil Brand HELANG
257,MINYAK MASAK SEBATIAN CAP NEPTUNE,Blended Cooking Oil Brand NEPTUNE
26,ANGGUR HIJAU BERBIJI,Green Grapes With Seeds
260,MINYAK MASAK SEBATIAN CAP PISAU,Blended Cooking Oil Brand PISAU
263,MINYAK MASAK TULEN CAP BURUH,Pure Cooking Oil Brand BURUH
266,MINYAK MASAK TULEN CAP SERI MURNI,Pure Cooking Oil Brand SERI MURNI
267,MINYAK MASAK TULEN CAP VESAWIT,Vesawit Brand Pure Cooking Oil
27,ANGGUR MERAH BERBIJI,Red Grapes With Seeds
271,MINYAK SAPI CAP QBB,Ghee Brand QBB
272,ROTI SANDWICH GARDENIA ORIGINAL CLASSIC,Bread SANDWICH GARDENIA ORIGINAL CLASSIC
292,UBAT GIGI COLGATE (PUDINA SEGAR),Colgate Toothpaste (Fresh Mint)
293,UBAT GIGI DARLIE DOUBLE ACTION (PUDINA ASLI),Darlie Double Action Toothpaste (Original Mint)
295,UBAT GIGI FRESH & WHITE (PUDINA SEGAR),Fresh & White Toothpaste (Fresh Mint)
299,LACTOGEN 1 RUMUSAN BAYI (KOTAK),LACTOGEN 1 Infant Formula (Box)
3,AYAM HIDUP,Live Chicken
300,LACTOGEN 2 RUMUSAN SUSULAN (KOTAK),LACTOGEN 2 Follow-Up Formula (Box)
303,ENFAGROW A+ MIND PRO LANGKAH 3 VANILLA (KOTAK),ENFAGROW A+ MIND PRO Stage 3 VANILLA (Box)
31,LAI KUNING (SAIZ M),Yellow Pear (Size M)
320,SUSU SEJAT PENUH KRIM CAP IDEAL,Evaporated Milk Full Cream Brand IDEAL
327,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',Low-Fat Milk Powder (Omega Plus)
